Kota Bogor,11564,11716
Kota Sukabumi,10999,10942
Kota Bandung,16887,16996
Kota Cirebon,11800,11810
Kota Bekasi,15776,15903
Kota Depok,15281,15420
Kota Cimahi,12025,12019
Kota Tasikmalaya,10263,10213
Kota Banjar,10535,10476
JAWA TENGAH,10930,11034
Cilacap,10440,10534
Banyumas,11448,11546
Purbalingga,9914,10032
Banjarnegara,9263,9407
Kebumen,8901,9028
Purworejo,10163,10275
Wonosobo,10621,10760
Magelang,9301,9440
Boyolali,12910,13031
Klaten,11921,12017
Sukoharjo,11325,11428
Wonogiri,9286,9429
Karanganyar,11428,11509
Sragen,12589,12679
Grobogan,10221,10294
Blora,9571,9669
Rembang,10328,10519
Pati,10390,10506
Kudus,11160,11272
Jepara,10343,10536
Demak,10128,10248
Semarang,11966,12070
Temanggung,9343,9408
Kendal,11425,11608
Batang,9431,9524
Pekalongan,10312,10409
Pemalang,8461,8573
Tegal,9612,9700
Brebes,10058,10152
Kota Magelang,12210,12349
Kota Surakarta,14761,14911
Kota Salatiga,15699,15843
Kota Semarang,15243,15425
Kota Pekalongan,12467,12598
Kota Tegal,12999,13143
D I YOGYAKARTA,14015,14111
Kulon Progo,10041,10069
Bantul,15517,15545
Gunung Kidul,9486,9505
Sleman,15926,16060
Kota Yogyakarta,18678,18801
JAWA TIMUR,11601,11707
Pacitan,8796,8887
Ponorogo,9670,9851
Trenggalek,9630,9743
Tulungagung,10705,10807
Blitar,10654,10757
Kediri,11000,11127
Malang,10028,10163
Lumajang,9088,9203
Jember,9294,9410
Banyuwangi,12140,12217
Bondowoso,10610,10690
Situbondo,9857,9996
Probolinggo,10859,10969
Pasuruan,10164,10297
Sidoarjo,14458,14578
Mojokerto,12779,12844
Jombang,11261,11394
Nganjuk,12130,12172
Madiun,11574,11658
Magetan,11776,11833
Ngawi,11418,11459
Bojonegoro,10121,10221
Tuban,10238,10380
Lamongan,11456,11510
Gresik,13246,13280
Bangkalan,8610,8673
Sampang,8739,8790
Pamekasan,8739,8804
Sumenep,8888,9000
Kota Kediri,12239,12359
Kota Blitar,13733,13816
Kota Malang,16593,16663
Kota Probolinggo,12180,12245
Kota Pasuruan,13281,13354
Kota Mojokerto,13499,13610
Kota Madiun,16018,16095
Kota Surabaya,17755,17862
Kota Batu,12824,12887
BANTEN,11964,12033
Pandeglang,8572,8635
Lebak,8690,8724
Tangerang,12203,12273
Serang,10665,10713
Kota Tangerang,14484,14575
Kota Cilegon,13010,13041
Kota Serang,13212,13281
Kota Tangerang Selatan,15667,15751
BALI,13929,13820
Jembrana,11790,11675
Tabanan,14494,14326
Badung,17503,17327
Gianyar,14544,14391
Klungkung,11376,11287
Bangli,11268,11201
Karangasem,10237,10175
Buleleng,13463,13362
Kota Denpasar,19723,19598
NUSA TENGGARA BARAT,10351,10377
Lombok Barat,11304,11334
Lombok Tengah,9952,9962
Lombok Timur,9409,9450
Sumbawa,9146,9167
Dompu,8889,8899
Bima,8468,8495
Sumbawa Barat,11536,11548
Lombok Utara,9006,9057
Kota Mataram,14968,14999
Kota Bima,11105,11135
NUSA TENGGARA TIMUR,7598,7554
Sumba Barat,7321,7307
Sumba Timur,9406,9354
Kupang,7526,7476
Timor Tengah Selatan,6861,6839
Timor Tengah Utara,6364,6324
Belu,7479,7431
Alor,6786,6751
Lembata,7305,7257
Flores Timur,7631,7578
Sikka,8081,8021
Ende,9094,9027
Ngada,8865,8819
Manggarai,7203,7133
Rote Ndao,6539,6503
Manggarai Barat,7468,7410
Sumba Tengah,6108,6061
Sumba Barat Daya,6372,6355
Nagekeo,8309,8254
Manggarai Timur,5818,5780
Sabu Raijua,5265,5256
Malaka,5901,5861
Kota Kupang,13337,13218
KALIMANTAN BARAT,8930,8974
Sambas,9858,9828
Bengkayang,9102,9193
Landak,7357,7431
Mempawah,7801,7758
Sanggau,8245,8328
Ketapang,9163,9209
Sintang,8728,8708
Kapuas Hulu,7162,7168
Sekadau,7434,7462
Melawi,8332,8415
Kayong Utara,7842,7920
Kubu Raya,8709,8630
Kota Pontianak,14465,14610
Kota Singkawang,11650,11767
KALIMANTAN TENGAH,11154,11182
Kotawaringin Barat,13109,13117
Kotawaringin Timur,11854,11866
Kapuas,11015,11148
Barito Selatan,11486,11492
Barito Utara,9936,9951
Sukamara,8674,8773
Lamandau,11190,11234
Seruyan,9370,9420
Katingan,10548,10568
Pulang Pisau,10047,10082
Gunung Mas,10793,10809
Barito Timur,11319,11322
Murung Raya,10419,10449
Kota Palangka Raya,14055,14070
KALIMANTAN SELATAN,12032,12143
Tanah Laut,11207,11310
Kotabaru,11530,11720
Banjar,12603,12707
Barito Kuala,9805,9868
Tapin,11841,11952
Hulu Sungai Selatan,12672,12736
Hulu Sungai Tengah,12153,12280
Hulu Sungai Utara,9527,9644
Tabalong,11283,11470
Tanah Bumbu,11718,11844
Balangan,11452,11500
Kota Banjarmasin,14306,14432
Kota Banjar Baru,13675,13789
KALIMANTAN TIMUR,11728,12116
Paser,10344,10673
Kutai Barat,9712,10062
Kutai Kartanegara,10720,11048
Kutai Timur,10485,10868
Berau,12018,12435
Penajam Paser Utara,11231,11651
Mahakam Ulu,7524,7802
Kota Balikpapan,14549,14862
Kota Samarinda,14135,14582
Kota Bontang,16278,16765
KALIMANTAN UTARA,8756,9075
Malinau,9611,9928
Bulungan,9121,9423
Tana Tidung,7381,7676
Nunukan,6804,7064
Kota Tarakan,10894,11261
SULAWESI UTARA,10791,10882
Bolaang Mongondow,10128,10220
Minahasa,12395,12481
Kepulauan Sangihe,11427,11524
Kepulauan Talaud,8505,8558
Minahasa Selatan,11481,11554
Minahasa Utara,11405,11481
Bolaang Mongondow Utara,9062,9143
Siau Tagulandang Biaro,8080,8145
Minahasa Tenggara,10408,10479
Bolaang Mongondow Selatan,8837,8939
Bolaang Mongondow Timur,8998,9115
Kota Manado,13886,13991
Kota Bitung,12193,12271
Kota Tomohon,11745,11851
Kota Kotamobagu,10744,10848
SULAWESI TENGAH,9335,9378
Banggai Kepulauan,7429,7453
Banggai,9554,9603
Morowali,10993,11028
Poso,8808,8850
Donggala,7960,8002
Toli-Toli,7917,7947
Buol,7942,7974
Parigi Moutong,9641,9675
Tojo Una-Una,7606,7621
Sigi,8126,8171
Banggai Laut,7663,7707
Morowali Utara,8853,8890
Kota Palu,14839,14894
SULAWESI SELATAN,11079,11184
Kepulauan Selayar,8970,9060
Bulukumba,10513,10632
Bantaeng,11632,11829
Jeneponto,9114,9215
Takalar,10454,10543
Gowa,9394,9504
Sinjai,9439,9505
Maros,10963,11032
Pangkajene dan Kepulauan,11405,11519
Barru,10923,11017
Bone,8963,9030
Soppeng,9483,9558
Wajo,12386,12505
Sidenreng Rappang,12073,12201
Pinrang,11844,11956
Enrekang,10844,10973
Luwu,10014,10116
Tana Toraja,7217,7434
Luwu Utara,11562,11736
